date,temperature,rainfall,year,month,temp_ma,z_score,anomaly
2015-01-01,27.831768913607043,50,2015,1,,0.31135601718125827,0
2015-01-02,24.15284702310204,25,2015,1,,-0.19270638424775688,0
2015-01-03,28.2028912019454,70,2015,1,,0.36220482491660927,0
2015-01-04,27.071028580840142,39,2015,1,,0.2071242312365573,0
2015-01-05,26.422486534428,80,2015,1,,0.11826513852629639,0
2015-01-06,31.48142889810932,67,2015,1,,0.8114091389764244,0
2015-01-07,25.657054797834355,89,2015,1,,0.013390566366132416,0
2015-01-08,27.093735602747767,12,2015,1,,0.21023540247984981,0
2015-01-09,26.131111324089037,67,2015,1,,0.07834276653481574,0
2015-01-10,25.73049103397567,83,2015,1,,0.02345233082947591,0
2015-01-11,26.884281204624184,47,2015,1,,0.18153729742343894,0
2015-01-12,27.496563165801263,40,2015,1,,0.2654282646383531,0
2015-01-13,27.594378764867603,31,2015,1,,0.2788303338396183,0
2015-01-14,29.058201748361185,83,2015,1,,0.4793940180621924,0
2015-01-15,23.0134820646118,47,2015,1,,-0.34881490032223805,0
2015-01-16,28.31797436012141,62,2015,1,,0.37797278487899744,0
2015-01-17,28.03988428659354,40,2015,1,,0.339870657557999,0
2015-01-18,26.338000088351414,81,2015,1,,0.10668934481143692,0
2015-01-19,26.702607468135646,39,2015,1,,0.1566455213497632,0
2015-01-20,28.734662688967017,12,2015,1,,0.4350647607177472,0
2015-01-21,29.80924816930667,68,2015,1,,0.5822976060681018,0
2015-01-22,27.36852957589565,14,2015,1,,0.24788591915992225,0
2015-01-23,29.4360090408512,40,2015,1,,0.5311587624079251,0
2015-01-24,28.76769839401817,33,2015,1,,0.43959110221577186,0
2015-01-25,28.63317234704208,79,2015,1,,0.42115920169933785,0
2015-01-26,30.870505900066345,27,2015,1,,0.7277043682183029,0
2015-01-27,29.43891989726347,77,2015,1,,0.5315575893787209,0
2015-01-28,25.882989217777087,42,2015,1,,0.044346658849567025,0
2015-01-29,31.22561435680876,12,2015,1,,0.7763590629361519,0
2015-01-30,31.94163701137003,8,2015,1,27.84430678871711,0.8744639179664361,0
2015-01-31,29.505458615904992,83,2015,1,27.900096445460374,0.5406743000088154,0
2015-02-01,30.343282745588372,99,2015,2,28.106444302876586,0.6554676159183871,0
2015-02-02,32.195232998387084,52,2015,2,28.239522362757974,0.9092100218558641,0
2015-02-03,28.931926695836143,65,2015,2,28.301552299924513,0.46209261615403435,0
2015-02-04,31.194401663578624,78,2015,2,28.460616137562862,0.7720824988848044,0
2015-02-05,32.13575690243762,85,2015,2,28.482427071040473,0.9010609867188898,0
2015-02-06,31.062039537675503,81,2015,2,28.662593229035178,0.753947085025333,0
2015-02-07,32.46121147120544,96,2015,2,28.8415090913171,0.9456526949344267,0
2015-02-08,35.06124002636232,18,2015,2,29.139180048059544,1.3018920162091954,0
2015-02-09,30.290777501774414,19,2015,2,29.291189596986168,0.6482736824584825,0
2015-02-10,30.498908618624387,66,2015,2,29.41167717745284,0.6767904799589316,0
2015-02-11,30.203796284242383,50,2015,2,29.50191828140088,0.636356071078482,0
2015-02-12,30.62762782281025,75,2015,2,29.603026583332298,0.6944267639309871,0
2015-02-13,33.79901039465147,60,2015,2,29.761053538208646,1.1289493666364703,0
2015-02-14,34.20185094902818,36,2015,2,30.133999167689186,1.1841440087831798,0
2015-02-15,31.14448414840883,70,2015,2,30.2282161606321,0.7652431194908585,0
2015-02-16,31.468915440770346,18,2015,2,30.342517199104666,0.8096946249029554,0
2015-02-17,33.74422158758635,41,2015,2,30.58939124907916,1.1214425539118105,0
2015-02-18,33.722715019104086,17,2015,2,30.823394834111443,1.1184958611365037,0
2015-02-19,35.40791102203553,55,2015,2,31.045836445213727,1.3493906638526325,0
2015-02-20,32.33369529235621,92,2015,2,31.129984682648708,0.9281812418172283,0
2015-02-21,32.89233589004541,92,2015,2,31.314111559787037,1.004722611704346,0
2015-02-22,37.30207945605699,5,2015,2,31.57631390696056,1.6089175355777705,0
2015-02-23,33.65177061390664,98,2015,2,31.73911631429018,1.1087755114481692,0
2015-02-24,32.61367163723485,58,2015,2,31.871799623963273,0.9665418140019978,0
2015-02-25,29.224024966254465,75,2015,2,31.81691692616954,0.5021140572235837,0
2015-02-26,34.41068642050241,16,2015,2,31.982642476944175,1.2127573124596034,0
2015-02-27,33.03191257114828,96,2015,2,32.220939922056544,1.0238465178796272,0
2015-02-28,38.61985191299824,44,2015,2,32.46741450726286,1.7894703086326078,0
2015-03-01,31.22581270230748,67,2015,3,32.44355369696078,0.7763862389707004,0
2015-03-02,34.045017732265705,0,2015,3,32.5948723341728,1.1626557222095617,0
2015-03-03,31.47335118525699,14,2015,3,32.63254128216175,0.8103023823070565,0
2015-03-04,35.30537348965454,27,2015,3,32.736212631870664,1.3353416254802875,0
2015-03-05,32.66126062786845,57,2015,3,32.86052376293841,0.9730621538228202,0
2015-03-06,31.918341107917453,38,2015,3,32.884655077749706,0.8712720619316365,0
2015-03-07,34.396252209535504,28,2015,3,32.96000492131964,1.2107796289807862,0
2015-03-08,35.72432827166826,86,2015,3,33.11541454578606,1.3927441362693973,0
2015-03-09,34.09181823135681,72,2015,3,33.16976810445777,1.1690680279507693,0
2015-03-10,36.00652438886778,14,2015,3,33.201277583207954,1.4314088474927191,0
2015-03-11,31.216375490578997,24,2015,3,33.23213084950144,0.7750932124405829,0
2015-03-12,34.05461350593151,96,2015,3,33.35065434574501,1.163970473884513,0
2015-03-13,31.99796213862581,52,2015,3,33.410459874224465,0.8821812274800245,0
2015-03-14,28.21472196447626,82,2015,3,33.33002967894666,0.36382580050389596,0
2015-03-15,33.789196212295074,4,2015,3,33.32970253953478,1.1276046899964487,0
2015-03-16,33.49141603566476,78,2015,3,33.306021375756,1.0868047503952232,0
2015-03-17,34.51850190597823,0,2015,3,33.41848863434165,1.2275295022852264,0
2015-03-18,34.622906717533695,95,2015,3,33.523621676900426,1.2418343833345398,0
2015-03-19,33.2341905989907,79,2015,3,33.50662064394724,1.0515613624741067,0
2015-03-20,34.03049693512024,68,2015,3,33.51688004114778,1.1606661752450835,0
2015-03-21,38.6260430017442,54,2015,3,33.62415110713807,1.790318572105883,0
2015-03-22,35.62717910989667,60,2015,3,33.73393390105608,1.3794333780535761,0
2015-03-23,35.03156144022787,73,2015,3,33.80524141939549,1.2978256457226243,0
2015-03-24,35.94727377426593,20,2015,3,33.76008123000246,1.4232907063711486,0
2015-03-25,32.934778283277105,86,2015,3,33.736181485648146,1.010537797590727,0
2015-03-26,33.58666797629753,44,2015,3,33.76861469695023,1.0998555634771867,0
2015-03-27,34.97237465741405,27,2015,3,33.96022635332222,1.2897162504253257,0
2015-03-28,39.0415743851276,67,2015,3,34.11458928547639,1.8472520306601246,0
2015-03-29,37.42802032992144,79,2015,3,34.26112621076883,1.6261731504583217,0
2015-03-30,36.29384850292269,74,2015,3,34.18359276376631,1.4707761641222934,0
2015-03-31,37.33039174462565,21,2015,3,34.38707873184358,1.6127967046905218,0
2015-04-01,34.402205181465725,58,2015,4,34.398984980150246,1.2115952672074446,0
2015-04-02,34.63448000100192,98,2015,4,34.50435594067508,1.2434200807836941,0
2015-04-03,37.83119227930384,66,2015,4,34.58854990033006,1.6814131982340073,0
2015-04-04,38.36176105721852,29,2015,4,34.7785665813084,1.7541083465080634,0
2015-04-05,32.1556493165634,2,2015,4,34.78647685492992,0.9037865183645436,0
2015-04-06,35.31235798629231,18,2015,4,34.81701371415515,1.3362985966399887,0
2015-04-07,35.42684568126976,41,2015,4,34.80709762780854,1.351984970034691,0
2015-04-08,35.67178878118591,59,2015,4,34.85976331280285,1.3855455105495247,0
